Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Big Data Architect,"Los Angeles, CA","A data architect is a practitioner of data architecture, an information technology discipline concerned with designing, creating, deploying and managing an organization&#39;s data architecture. Data architects define how the data will be stored, consumed, integrated and managed by different data entities and IT systems, as well as any applications using or processing that data in some way.  It is closely allied with business architecture and is considered to be one of the four domains of enterprise architecture.",133833,150551,168914,196519,221652
Database Administrator - Entry,"Los Angeles, CA","The Database Administrator - Entry implements and monitors database access and configurations. Administers and maintains the company database and data warehouses. Being a Database Administrator - Entry performs database recovery and back-up. Resolves database performance and capacity issues. In addition, Database Administrator - Entry may involve in capacity planning, and some development work. May require a bachelor&#39;s degree or its equivalent. Typically reports to a manager. Being a Database Administrator - Entry works on projects/matters of limited complexity in a support role. Work is closely managed. Working as a Database Administrator - Entry typically requires 0-2 years of related experience.",59697,67800,76700,88900,100007
Entry Business Systems Analyst,"Los Angeles, CA","The Entry Business Systems Analyst documents system requirements, defines scope and objectives, and assists in the creation of system specifications that drive system development and implementation. Reviews, analyzes, and evaluates user needs to create systems solutions that support overall business strategies. Being an Entry Business Systems Analyst typically requires a bachelor&#39;s degree or its equivalent. Incumbents function as a liaison between IT and users and have both business and technical expertise. In addition, Entry Business Systems Analyst typically reports to a manager. Being an Entry Business Systems Analyst works on projects/matters of limited complexity in a support role. Work is closely managed. Working as an Entry Business Systems Analyst typically requires 0-2 years of related experience.",56131,63060,70670,79040,86660
Entry Data Analyst,"Bridgeport, CT","The Entry Data Analyst researches best practices and supports developing the solutions and recommendations for the current business operations. Performs routine business analysis using various techniques, e.g. statistical analysis, explanatory and predictive modeling, data mining. Being an Entry Data Analyst may provide business data interpretation. May work with the internal or external client to identify analytical requirements. In addition, Entry Data Analyst may help to produce ad hoc data and reports. May assist in developing or implementing systems to capture business operation information. Requires a bachelor&#39;s degree. Typically reports to a supervisor or manager. Being an Entry Data Analyst works on projects/matters of limited complexity in a support role. Work is closely managed. Working as an Entry Data Analyst typically requires 0-2 years of related experience.",55882,62801,70401,80201,89123
Data Scientist I,"Bridgeport, CT","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",67214,74596,82705,89382,95462
Machine Learning Engineer,"Bridgeport, CT","Machine learning (ML) is the scientific study of algorithms and statistical models that computer systems use to effectively perform a specific task without using explicit instructions, relying on patterns and inference instead. It is seen as a subset of artificial intelligence. Machine learning algorithms build a mathematical model of sample data, known as &quot;training data&quot;, in order to make predictions or decisions without being explicitly programmed to perform the task.:2 Machine learning algorithms are used in a wide variety of applications, such as email filtering, and computer vision, where it is infeasible to develop an algorithm of specific instructions for performing the task. Machine learning is closely related to computational statistics, which focuses on making predictions using computers. The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning. Data mining is a field of study within machine learning, and focuses on exploratory data analysis through unsupervised learning. In its application across business problems, machine learning is also referred to as predictive analytics.",113928,125950,139155,154456,168387
Business Intelligence (BI) Developer,"Bridgeport, CT","Business Intelligence Specialist III creates reports, visualizations, dashboards, and metrics that provide business insight and aid business decision-making. Uses querying languages like SQL, scripting languages like R or Python, and other tools like Tableau or Excel to produce reports and perform meaningful quantitative or qualitative analyses addressing impactful business issues or questions. Being a Business Intelligence Specialist III combines these reports with subject-matter expertise to deliver coherent, insightful takeaways and advice. Collaborates with project stakeholders to better understand valuable objectives and KPIs and to design relevant reports and dashboards. Additionally, Business Intelligence Specialist III requires a bachelor&#39;s degree. Typically reports to a supervisor or manager. The Business Intelligence Specialist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Business Intelligence Specialist III typically requires 4-7 years of related experience.",79708,91089,103590,117067,129338
Entry Level Python Developer,"Bridgeport, CT","Web Applications Developer I designs, develops, and maintains internal and external websites for an organization. Uses knowledge of common web development languages (e.g., HTML, Java, PHP, JSP, ASP.NET, Python, AJAX) to build and expand site functionality. Being a Web Applications Developer I creates and enhances the overall website appearance using graphic/multi-media design software and designs site navigation that is clear and easy to understand. Ensures sites remain scalable while complying with performance and security standards. Additionally, Web Applications Developer I updates site content based on input from marketing and documents changes in source code. Typically requires a bachelor&#39;s degree in a related area. Typically reports to a manager. The Web Applications Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Web Applications Developer I typically requires 0-2 years of related experience.",81210,91002,101758,116078,129116
UX Design Intern,"Bridgeport, CT","UI/Usability Designer II applies user-centered design principles to improve the workflow, expand the functionality, and enhance the visual appeal of websites and mobile apps. Gathers requirements from users and stakeholders, defines information architecture, creates sample user personas, and documents user workflow. Being an UI/Usability Designer II designs wireframes, mockups, and prototypes. Applies the results from user research and usability testing to create new features and improve current features. Additionally, UI/Usability Designer II requires knowledge of HTML, JavaScript, Lineto and FLASH. May perform user research, usability testing, or facilitate focus groups. May require familiarity with various graphic design software packages. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a supervisor or manager. The UI/Usability Designer II occasionally directed in several aspects of the work. Gaining exposure to some of the complex tasks within the job function. To be an UI/Usability Designer II typically requires 2-4 years of related experience.",65985,76327,87685,96354,104246
Data Architect I,"Bridgeport, CT","Data Architect I designs and builds relational databases for data storage or processing. Develops strategies for warehouse implementation, data acquisition and access, and data archiving and recovery. Being a Data Architect I builds data models and defines the structure, attributes and nomenclature of data elements. May evaluate new data sources for adherence to the organization&#39;s quality standards and ease of integration. Additionally, Data Architect I typically requires a bachelor&#39;s degree. Typically reports to a supervisor or manager. The Data Architect I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Data Architect I typically requires 0-2 years of related experience.",53247,72411,93460,114581,133810
Big Data Architect,"Bridgeport, CT","A data architect is a practitioner of data architecture, an information technology discipline concerned with designing, creating, deploying and managing an organization&#39;s data architecture. Data architects define how the data will be stored, consumed, integrated and managed by different data entities and IT systems, as well as any applications using or processing that data in some way.  It is closely allied with business architecture and is considered to be one of the four domains of enterprise architecture.",134427,151219,169664,197391,222636
Database Administrator - Entry,"Bridgeport, CT","The Database Administrator - Entry implements and monitors database access and configurations. Administers and maintains the company database and data warehouses. Being a Database Administrator - Entry performs database recovery and back-up. Resolves database performance and capacity issues. In addition, Database Administrator - Entry may involve in capacity planning, and some development work. May require a bachelor&#39;s degree or its equivalent. Typically reports to a manager. Being a Database Administrator - Entry works on projects/matters of limited complexity in a support role. Work is closely managed. Working as a Database Administrator - Entry typically requires 0-2 years of related experience.",59906,68100,77100,89300,100407
Entry Business Systems Analyst,"Bridgeport, CT","The Entry Business Systems Analyst documents system requirements, defines scope and objectives, and assists in the creation of system specifications that drive system development and implementation. Reviews, analyzes, and evaluates user needs to create systems solutions that support overall business strategies. Being an Entry Business Systems Analyst typically requires a bachelor&#39;s degree or its equivalent. Incumbents function as a liaison between IT and users and have both business and technical expertise. In addition, Entry Business Systems Analyst typically reports to a manager. Being an Entry Business Systems Analyst works on projects/matters of limited complexity in a support role. Work is closely managed. Working as an Entry Business Systems Analyst typically requires 0-2 years of related experience.",56384,63340,70980,79390,87047
